Date, Open, High, Low, Close, Shares Traded, Turnover
04-DEC-2013,2185.6,2201.8,2162.3,2165.35,257648113,1622.27
05-DEC-2013,2201.8,2206.25,2186.4,2193.4,182752389,1531.45
06-DEC-2013,2193.95,2212.2,2189.15,2207.55,131583675,1333.9
09-DEC-2013,2253.2,2253.5,2221.75,2234.15,160132281,1650.41
10-DEC-2013,2234.05,2239.7,2205.4,2230.5,164337947,1712.75
11-DEC-2013,2222.05,2225,2196.2,2211,132293316,1396.47
12-DEC-2013,2200.25,2211.45,2188.25,2191.25,137378573,1376.01
13-DEC-2013,2177.4,2186.5,2149.05,2152.85,117030227,1301.75
16-DEC-2013,2152.45,2171.05,2147.55,2165.2,124663358,1690.1
17-DEC-2013,2177.8,2185.35,2154,2157.5,141708004,1811.26
18-DEC-2013,2157.85,2210.55,2157.85,2206.75,167155460,2418.44
19-DEC-2013,2216.45,2221.4,2186.15,2193.45,147112957,1893.58
20-DEC-2013,2190.6,2238.85,2190.6,2237.35,186983176,1849.04
23-DEC-2013,2241.75,2282.45,2241.75,2269.65,197966170,1803.05
24-DEC-2013,2275.65,2288.6,2269.8,2279.55,164189104,1842.59
26-DEC-2013,2284.9,2306.15,2276.85,2284,233393309,2260.58
27-DEC-2013,2292.05,2304.55,2289.6,2297.45,143523504,1557
30-DEC-2013,2304.75,2311,2283.85,2291.05,134726261,1528.38
31-DEC-2013,2303.7,2307.45,2287.75,2302.75,152729513,1499.87
01-JAN-2014,2309.8,2324.05,2304,2322.05,130115460,1160.57
02-JAN-2014,2323.9,2344.05,2255.2,2263.1,228612403,2204.83
03-JAN-2014,2251.95,2273.9,2244.35,2271.5,172788918,1754.02
06-JAN-2014,2278,2285.9,2261.55,2284.65,126748520,1631.28
07-JAN-2014,2290,2299.8,2257.3,2261.15,160659494,1708.44
08-JAN-2014,2267.55,2283.55,2259.15,2268.7,157998449,1733.61
09-JAN-2014,2270.6,2276.55,2232.35,2241.05,141320430,1551.34
10-JAN-2014,2244.15,2259.5,2212.65,2216.3,139220506,1458.38
13-JAN-2014,2217.5,2235.5,2201.05,2215.4,130860484,1340.64
14-JAN-2014,2211.45,2233.2,2211.45,2222.35,115308675,1117.74
15-JAN-2014,2230.45,2239.55,2217.35,2229.3,145060139,1281.93
16-JAN-2014,2234.15,2239.6,2220.2,2225.9,117512412,1326.78
17-JAN-2014,2225.85,2234.2,2191.15,2196.7,112349878,1231.9
20-JAN-2014,2194.75,2229.6,2193.7,2226.35,112626901,1423.57
21-JAN-2014,2232.3,2242.3,2225.2,2233.35,120837744,1642.7
22-JAN-2014,2234.25,2247.15,2230.6,2243,121822231,1565.98
23-JAN-2014,2237.5,2247.55,2231.25,2232.45,98828479,1258.77
24-JAN-2014,2222.55,2228.6,2181.45,2183.75,105949236,1359.1
27-JAN-2014,2160.85,2160.85,2092.55,2095.9,155026846,1466.26
28-JAN-2014,2094.95,2116.95,2073.35,2092.3,171333124,1560.22
29-JAN-2014,2105.65,2117.75,2100.9,2106.65,138869761,1431
30-JAN-2014,2086.15,2090.8,2065.2,2075.2,231894031,2289.85
31-JAN-2014,2084.85,2134.65,2084.4,2131.2,171911128,1778.19
03-FEB-2014,2122.65,2128.7,2094.8,2098.6,132054185,1557.13
04-FEB-2014,2079.2,2112.95,2070.65,2106.95,152799859,1643.3
05-FEB-2014,2107.6,2120.75,2100.95,2116.7,125611630,1482.49
06-FEB-2014,2126.95,2138.15,2105.5,2120.95,130450258,1736.08
07-FEB-2014,2141.05,2149.55,2129.4,2143.9,122942910,1807.88
10-FEB-2014,2148.3,2151.35,2128.75,2132.05,123042991,1340.11
11-FEB-2014,2137.35,2140.15,2122.4,2131.65,93581717,1412.46
12-FEB-2014,2142.75,2145,2119.7,2126.4,111264731,1369.09
13-FEB-2014,2130.15,2130.45,2081,2086.3,111639904,1217.65
14-FEB-2014,2088.5,2098,2067.65,2092.9,105748374,1132.12
17-FEB-2014,2094.6,2100.45,2072.5,2094.6,99058491,1067.7
18-FEB-2014,2092.6,2121.35,2092.6,2116.75,111215632,1310.64
19-FEB-2014,2115.55,2128.5,2114.65,2125.85,89738307,1202.67
20-FEB-2014,2112.5,2134.95,2107.65,2124.65,118328354,1330.13
21-FEB-2014,2129.7,2143.7,2129.7,2141.2,98709248,1269.16
24-FEB-2014,2144.4,2150.9,2140.85,2145.65,98847702,1110.77
25-FEB-2014,2152.95,2162.2,2141.8,2145.6,107131730,1457.25
26-FEB-2014,2147.65,2152.9,2137,2147.05,187490509,1891.28
28-FEB-2014,2152.3,2171.5,2148.55,2168.5,121095910,1748.15
03-MAR-2014,2168.8,2181.9,2145.85,2155.6,115307618,1323.7
04-MAR-2014,2157,2194.2,2157,2192.25,128349572,1459.65
05-MAR-2014,2204.65,2213.15,2190,2210.8,133950683,1543.22
06-MAR-2014,2219.45,2257.85,2216.55,2254.1,199451832,2315.94
07-MAR-2014,2265.1,2286.05,2253.1,2278,265716566,2507.07
10-MAR-2014,2271.3,2304.05,2267.1,2298.1,216757849,2070.49
11-MAR-2014,2305.8,2315.7,2281.1,2285.1,204592158,2307.22
12-MAR-2014,2284.15,2299.95,2270.7,2280.95,162651746,1574.9
13-MAR-2014,2285.8,2306.75,2240.7,2251.4,139969288,1536.18
14-MAR-2014,2241.95,2267.7,2226.9,2265.2,141964686,1627.9
18-MAR-2014,2276.35,2305.75,2276.35,2292.1,140691778,1651.34
19-MAR-2014,2302.3,2318.2,2295.7,2306.45,136093381,1630.15
20-MAR-2014,2301.75,2310.4,2281.8,2283.8,138895140,1424.48
21-MAR-2014,2292.9,2311.25,2292.9,2305.1,151415525,1510.26
22-MAR-2014,2309.25,2311.75,2306.6,2308.8,11144399,127.56
24-MAR-2014,2314.85,2329.25,2314.05,2322.95,133199456,1226.81
25-MAR-2014,2318.75,2349.05,2317.6,2346.1,157726271,1980.05
26-MAR-2014,2359.1,2373.35,2343.5,2355,218344444,1803.75
27-MAR-2014,2355.35,2375.45,2352.2,2356.15,259585361,2201.27
28-MAR-2014,2369.7,2440.1,2369.7,2433.6,,
31-MAR-2014,2453.05,2469.2,2432.75,2465.15,,
01-APR-2014,2475.1,2477.25,2434.8,2452.65,206854474,1917.49
02-APR-2014,2468.2,2508.35,2464.45,2504.7,197502395,2328.38
03-APR-2014,2499,2506.75,2466.75,2482.25,250868668,2325.79
04-APR-2014,2481.45,2501.8,2473.5,2490.45,197320782,1905.91
07-APR-2014,2490.65,2507,2458.6,2485.65,207308795,1585.1
09-APR-2014,2495.65,2543.65,2495.65,2542.35,209044924,2170.59
10-APR-2014,2547.05,2610.5,2542.9,2590.05,309081260,4032.72
11-APR-2014,2573.55,2608.05,2566.5,2583.2,251006423,3049.68
15-APR-2014,2591.3,2597.25,2546.15,2554.4,185383719,2330.96
16-APR-2014,2557.95,2587.15,2508.9,2514.8,227322927,3420.73
17-APR-2014,2526.5,2574.1,2520.7,2570.7,204051763,2802.79
21-APR-2014,2580.4,2608.35,2580.4,2601.05,163814517,2392.79
22-APR-2014,2610.9,2615.1,2581.35,2586.45,192183612,2176.84
23-APR-2014,2589.85,2601.6,2565.3,2573,245653882,2877.41
25-APR-2014,2577.25,2592.1,2561.5,2570.75,197959365,2633.68
28-APR-2014,2576.6,2613.25,2568.45,2608.55,246851108,3126.53
29-APR-2014,2615.75,2625.15,2573.6,2579.3,262406212,2722.05
30-APR-2014,2588.15,2609.9,2490,2525.35,287266859,3057.06
02-MAY-2014,2543.6,2556.05,2530.8,2539.6,168991956,2095.75
05-MAY-2014,2541,2559.15,2530.35,2538.45,175989989,2141.44
06-MAY-2014,2549.95,2560.4,2529.15,2539.85,135682500,1911.49
07-MAY-2014,2540.35,2564.8,2528,2533.45,171472241,2376.26
08-MAY-2014,2543.95,2549.95,2505.8,2518.35,163998390,2058.89
09-MAY-2014,2515.45,2585.55,2511.7,2582.4,243165519,2794.81
12-MAY-2014,2589.05,2634.8,2588.55,2616.85,287073195,2775.12
13-MAY-2014,2639.7,2696.4,2636.05,2689,342636450,4254.89
14-MAY-2014,2700.35,2760.8,2693.65,2757.85,359909203,4379.43
15-MAY-2014,2765.15,2788.15,2720,2730.15,311669394,3807.84
16-MAY-2014,2809.45,2910.05,2785.65,2826.85,580264298,6928.27
19-MAY-2014,2866.25,3024.15,2866.25,3017.75,506919348,5794.44
20-MAY-2014,3052.3,3078,3006.55,3032.45,515748155,5041.76
21-MAY-2014,3048.75,3064.5,2998,3041.3,388697438,3929.42
22-MAY-2014,3068.7,3111.3,3056.65,3092.05,419634017,4034.39
23-MAY-2014,3119.1,3202.5,3119.1,3193.45,495054119,4818.65
26-MAY-2014,3229.2,3288.45,3009.95,3111.55,589654090,6414.36
27-MAY-2014,3120.65,3120.65,3008.15,3074.7,380679684,3917.59
28-MAY-2014,3082.45,3111,3058.85,3093.75,309462900,3552.97
29-MAY-2014,3097.6,3102.85,3049.15,3055.1,328636030,3970.43
30-MAY-2014,3069.4,3095.7,3039.25,3049.3,347952025,4481.73
02-JUN-2014,3058.35,3149.35,3058.15,3145.55,279933081,3829.64
03-JUN-2014,3157.3,3169.3,3130.65,3166.4,327687599,4237.84
04-JUN-2014,3167.95,3238.3,3167.95,3234.7,374439752,4820.02
05-JUN-2014,3247.95,3312.35,3224.1,3308.25,363955447,5291.68
06-JUN-2014,3336,3373.85,3326.35,3370.5,391854195,5296.64
09-JUN-2014,3399.5,3443.05,3396.25,3434.6,584459614,5741.6
10-JUN-2014,3448.6,3449.25,3347.65,3406.35,423293493,4817.81
11-JUN-2014,3412.15,3441.75,3306.7,3329.95,439459932,4753.05
12-JUN-2014,3327.35,3352.65,3288.1,3336.3,308758342,3394.97
13-JUN-2014,3344.55,3363.95,3192.2,3216.4,366225044,4074.29
16-JUN-2014,3203.45,3244.8,3121.3,3240.3,341360883,3767.96
17-JUN-2014,3241.35,3299.9,3217.8,3295,274986018,3576.67
18-JUN-2014,3299.85,3338.9,3213.1,3250.8,323116934,3979.09
19-JUN-2014,3260.1,3291,3203,3213.65,264600838,2968.41
20-JUN-2014,3205,3233.35,3174.2,3186.65,323752322,3137.62
23-JUN-2014,3196.8,3224.6,3183.15,3218.4,266037659,3042.43
24-JUN-2014,3231.6,3302.55,3231.6,3293.15,319043698,3653.04
25-JUN-2014,3300.15,3310.85,3289.6,3303,274861711,3061.87
26-JUN-2014,3306.8,3315,3260.25,3264.25,345900535,4036.77
27-JUN-2014,3276.55,3299.4,3246.85,3281.1,250854185,2984.69
